X[m],Y[m],Z[m]
9.83960703e-02,-4.91413102e-03,-2.95074633e-03
9.83960703e-02,-4.91413102e-03,2.95074633e-03
1.00387298e-01,-4.66508325e-03,2.95074633e-03
1.00387298e-01,-4.66508325e-03,-2.95074633e-03
9.64048356e-02,-5.16317831e-03,-2.95074633e-03
9.64048356e-02,-5.16317831e-03,2.95074633e-03
9.44136009e-02,-5.41222561e-03,-2.95074633e-03
9.44136009e-02,-5.41222561e-03,2.95074633e-03
7.64925033e-02,1.02034025e-02,-2.95074633e-03
7.64925033e-02,1.02034025e-02,2.95074633e-03
7.64925033e-02,1.14782779e-02,2.95074633e-03
7.64925033e-02,1.14782779e-02,-2.95074633e-03
7.64925033e-02,8.92852712e-03,-2.95074633e-03
7.64925033e-02,8.92852712e-03,2.95074633e-03
8.04749653e-02,7.15555763e-03,-2.95074633e-03
8.24662000e-02,6.90651033e-03,-2.95074633e-03
8.24662000e-02,6.90651033e-03,2.95074633e-03
8.04749653e-02,7.15555763e-03,2.95074633e-03
7.84837306e-02,7.40460493e-03,2.95074633e-03
7.84837306e-02,7.40460493e-03,-2.95074633e-03
7.64925033e-02,7.65365269e-03,-2.95074633e-03
7.64925033e-02,7.65365269e-03,2.95074633e-03
6.52780607e-02,1.51847918e-02,-2.95074633e-03
6.52780607e-02,1.51847918e-02,2.95074633e-03
6.30356446e-02,1.51303047e-02,2.95074633e-03
6.30356446e-02,1.51303047e-02,-2.95074633e-03
6.75206929e-02,1.52284438e-02,-2.95074633e-03
6.75206929e-02,1.52284438e-02,2.95074633e-03
6.97634891e-02,1.52617283e-02,-2.95074633e-03
6.97634891e-02,1.52617283e-02,2.95074633e-03
2.06654705e-02,-1.10379625e-02,-2.95074633e-03
2.06654705e-02,-1.10379625e-02,2.95074633e-03
2.28663050e-02,-1.14712026e-02,2.95074633e-03
2.28663050e-02,-1.14712026e-02,-2.95074633e-03
1.84732359e-02,-1.05632562e-02,-2.95074633e-03
1.84732359e-02,-1.05632562e-02,2.95074633e-03
1.62918232e-02,-1.00411950e-02,-2.95074633e-03
1.62918232e-02,-1.00411950e-02,2.95074633e-03
5.90173004e-04,-2.14067195e-03,-2.95074633e-03
5.90173004e-04,-2.14067195e-03,2.95074633e-03
1.22692110e-03,-3.06030223e-03,2.95074633e-03
1.22692110e-03,-3.06030223e-03,-2.95074633e-03
1.58786366e-04,-1.10643078e-03,-2.95074633e-03
1.58786366e-04,-1.10643078e-03,2.95074633e-03
0.00000000e+00,0.00000000e+00,-2.95074633e-03
0.00000000e+00,0.00000000e+00,2.95074633e-03
8.04749653e-02,-7.15555763e-03,-2.95074633e-03
8.04749653e-02,-7.15555763e-03,2.95074633e-03
8.24662000e-02,-6.90651033e-03,2.95074633e-03
8.24662000e-02,-6.90651033e-03,-2.95074633e-03
7.84837306e-02,-7.40460493e-03,-2.95074633e-03
7.84837306e-02,-7.40460493e-03,2.95074633e-03
7.64925033e-02,-1.02034025e-02,-2.95074633e-03
7.64925033e-02,-1.14782779e-02,-2.95074633e-03
7.64925033e-02,-1.14782779e-02,2.95074633e-03
7.64925033e-02,-1.02034025e-02,2.95074633e-03
7.64925033e-02,-8.92852712e-03,2.95074633e-03
7.64925033e-02,-8.92852712e-03,-2.95074633e-03
7.64925033e-02,-7.65365269e-03,-2.95074633e-03
7.64925033e-02,-7.65365269e-03,2.95074633e-03
5.40697090e-02,-1.47932973e-02,-2.95074633e-03
5.40697090e-02,-1.47932973e-02,2.95074633e-03
5.63104190e-02,-1.48963770e-02,2.95074633e-03
5.63104190e-02,-1.48963770e-02,-2.95074633e-03
5.18296622e-02,-1.46765821e-02,-2.95074633e-03
5.18296622e-02,-1.46765821e-02,2.95074633e-03
4.95904312e-02,-1.45454761e-02,-2.95074633e-03
4.95904312e-02,-1.45454761e-02,2.95074633e-03
6.75205961e-02,-1.52285416e-02,-2.95074633e-03
6.75205961e-02,-1.52285416e-02,2.95074633e-03
